Year,WEEK,AWAYCITY,HOMECITY,Home_Team,Total Yards_H,TD Pass_H,TD Rush_H,FGA_H,FGM_H,EPA_H,EPM_H,2PCA_H,2PCM_H,SFTY_H,Rush_Yards_H,Pass_Yards_H,RA_H,PA_H,Rush_YpA_H,Pass_YpA_H,INT_H,SACK_H,3rd_PCT_H,4th_PCT_H,COMP_H,COMP_PCT_H,FG_PCT_H,PEN_H,PEN_YDS_H,TO_H,HOME_PTS,Pass/Rush_Ratio_H,Away_Team,Total Yards_A,TD Pass_A,TD Rush_A,FGA_A,FGM_A,EPA_A,EPM_A,2PCA_A,2PCM_A,SFTY_A,Rush_Yards_A,Pass_Yards_A,RA_A,PA_A,Rush_YpA_A,Pass_YpA_A,INT_A,SACK_A,3rd_PCT_A,4th_PCT_A,COMP_A,COMP_PCT_A,FG_PCT_A,PEN_A,PEN_YDS_A,TO_A,AWAY_PTS,Pass/Rush_Ratio_A,conv_adv,elo_H,elo_A
2021,10,MIN,LAC,LAC,376.2857143,2.285714286,0.857142857,1.142857143,1,2.571428571,1.857142857,0.571428571,0.428571429,NA,104.4285714,271.8571429,22.71428571,40.28571429,4.6,6.74822695,0.857142857,2,0.45,0.67,25.57142857,0.634751773,0.875,6.857142857,67.42857143,1.142857143,24.57142857,1.773584906,MIN,394.7142857,2,0.285714286,2.857142857,2.285714286,2,1.857142857,0.285714286,NA,NA,124,270.7142857,27.71428571,39.42857143,4.5,6.865942029,0.714285714,3.428571429,0.4,0.6,27.14285714,0.688405797,0.8,7.285714286,63.28571429,0.714285714,23.28571429,1.422680412,1.125,,
2021,10,PHI,DEN,DEN,338.25,1.625,0.5,1.75,1.625,2,2,0.125,NA,NA,103.625,234.625,23.5,34.75,4.4,6.751798561,0.75,2.5,0.32,0.77,24.125,0.694244604,0.928571429,5.5,49.625,1.25,19.625,1.478723404,PHI,348,1.25,1.5,1.5,1.25,2.375,2.375,0.625,0.625,NA,131.625,216.375,26.25,32.375,5,6.683397683,0.75,2.125,0.4,0.33,19.875,0.613899614,0.833333333,7.5,54.25,0.875,25.375,1.233333333,0.8,,
2021,10,SEA,GB,GB,337.5,2.125,0.625,2.125,1.625,2.75,2.625,0,NA,NA,108.125,229.375,25.75,33.125,4.2,6.924528302,1.125,2.5,0.42,0.55,22.25,0.671698113,0.764705882,4.5,44,0.75,24,1.286407767,SEA,314,1.875,0.875,1.375,0.875,2.875,2.75,0,NA,NA,102.875,211.125,24.5,27.5,4.2,7.677272727,0.375,1.75,0.32,0,19.375,0.704545455,0.636363636,5.75,46.625,0.5,22.625,1.12244898,1.3125,,
2021,10,KC,LV,LV,393.2857143,1.714285714,1.142857143,2.285714286,2,2.571428571,2.285714286,0.142857143,NA,0.142857143,85.42857143,307.8571429,24.71428571,38,3.5,8.101503759,0.571428571,2.571428571,0.4,0.4,25.71428571,0.676691729,0.875,7.571428571,66.42857143,0.714285714,25.71428571,1.537572254,KC,412.875,2.375,0.75,1,0.875,2.875,2.875,0.125,NA,NA,116.75,296.125,24.25,42.625,4.8,6.947214076,0.75,1.375,0.57,0.5,28.375,0.66568915,0.875,7,58.25,2.375,26,1.757731959,0.701754386,,
2021,10,LAR,SF,SF,369.7142857,1.285714286,1.428571429,1.857142857,1.428571429,2.428571429,2,0.428571429,0.285714286,NA,123.7142857,246,27.71428571,31.57142857,4.5,7.791855204,0.285714286,2.285714286,0.31,0.5,19.42857143,0.615384615,0.769230769,6.428571429,77.14285714,1.571428571,24,1.139175258,LAR,405.875,2.75,0.875,1.875,1.75,3.5,3.375,0.125,0.125,NA,104.125,301.75,26.5,34.625,3.9,8.714801444,1.375,3.125,0.48,0.57,23.625,0.682310469,0.933333333,3.875,35.125,0.875,30.625,1.306603774,0.645833333,,
2021,11,NE,ATL,ATL,334,1.857142857,0.428571429,1.857142857,1.714285714,2,2,0.285714286,0.142857143,NA,87,247,23.57142857,39.14285714,3.7,6.310218978,0.428571429,1.428571429,0.46,0.38,26.57142857,0.678832117,0.923076923,5.571428571,46,1.428571429,21.14285714,1.660606061,NE,354.625,1.25,1.25,2.625,2.5,2.375,2,0.25,0.25,NA,101.25,253.375,25.875,36.125,3.9,7.01384083,1.25,2.25,0.44,0.75,24.75,0.685121107,0.952380952,5.75,55.5,1.5,25.75,1.396135266,1.045454545,,
2021,11,IND,BUF,BUF,402.8571429,2.428571429,1.142857143,2.428571429,2.285714286,3.285714286,3.285714286,0.285714286,0.142857143,NA,126.5714286,276.2857143,28.85714286,39.28571429,4.4,7.032727273,1.571428571,2.285714286,0.5,0.38,25.71428571,0.654545455,0.941176471,7,62.42857143,0.714285714,32.71428571,1.361386139,IND,350.875,1.75,1,2.125,1.75,2.375,2.25,0.5,0.125,NA,122,228.875,26.5,34.375,4.6,6.658181818,1.125,2.125,0.39,0.6,21.25,0.618181818,0.823529412,4.875,46,1.25,25,1.297169811,1.282051282,,
2021,11,BAL,CHI,CHI,264,0.5,1,1.375,1.375,1.625,1.5,0,NA,NA,136.625,127.375,30,26,4.6,4.899038462,0.5,2.625,0.31,0.2,16.375,0.629807692,1,5.75,49.5,1.375,15.375,0.866666667,BAL,417.5714286,1.428571429,1.428571429,2.142857143,2,2.142857143,2.142857143,0.714285714,0.285714286,NA,149.4285714,268.1428571,30.57142857,33.71428571,4.9,7.953389831,0.714285714,2.142857143,0.37,0.5,21.57142857,0.639830508,0.933333333,5.714285714,55,1.142857143,26.71428571,1.102803738,0.837837838,,
2021,11,DET,CLE,CLE,382.5,0.875,1.75,1.5,1.375,2.25,2.25,0.375,0.375,NA,161.125,221.375,31.25,30,5.2,7.379166667,0.375,2.75,0.42,0.44,19.75,0.658333333,0.916666667,6.75,64.75,1,22.875,0.96,DET,321.125,1,0.75,1.625,1.375,1.125,1.125,0.625,0.5,NA,93.125,228,22.875,38.75,4.1,5.883870968,0.5,1.75,0.34,0.38,25.875,0.667741935,0.846153846,6.625,52.25,1.375,16.75,1.693989071,1.235294118,,
2021,11,HOU,TEN,TEN,377.125,1.375,1.625,2.25,1.875,3,2.75,0.25,0.25,NA,147.625,229.5,32.5,33.125,4.5,6.928301887,0.875,2.25,0.42,0.6,21.75,0.656603774,0.833333333,6.875,68.875,1.375,28.375,1.019230769,HOU,281.125,1.25,0.5,1.25,0.875,1.625,1.25,0.125,0.125,0.125,76.125,205,23.25,31.75,3.3,6.456692913,0.875,1.875,0.4,0.5,21.375,0.673228346,0.7,7.125,61.5,1.625,14.875,1.365591398,1.05,,
